N,Start time,End Time,Duration,Date,Title,MediaType,Location
287,07:00:00,07:15:00,00:15:00:00,31-05-2015,JYOTISH VIGYAN WITH PANDIT R K SHARMA,MP,
288,07:15:00,07:30:00,00:15:00:00,31-05-2015,SPEAKER KHADKE,MP,
289,07:30:00,08:00:00,00:30:00:00,31-05-2015,SHOKINIYAN,MP,
290,08:00:00,08:30:00,00:30:00:00,31-05-2015,PRABH AASRA,MP,
291,08:30:00,08:45:00,00:15:00:00,31-05-2015,FITNESS SHOW(TUMMY FIT),MP,
292,08:45:00,09:00:00,00:15:00:00,31-05-2015,SPEAKER KHADKE,MP,
293,09:00:00,09:30:00,00:30:00:00,31-05-2015,JYOTISH VIGYAN WITH PANDIT R K SHARMA,MP,
294,09:30:00,10:00:00,00:30:00:00,31-05-2015,THE KANWAR SANDHU SHOW,MP,
295,10:00:00,10:30:00,00:30:00:00,31-05-2015,FITNESS SHOW,MP,
296,10:30:00,11:00:00,00:30:00:00,31-05-2015,PUNJABI NEWS,MP,
297,11:00:00,11:30:00,00:30:00:00,31-05-2015,PAL PAL,MP,
298,11:30:00,11:45:00,00:15:00 :00,31-05-2015,DR KANG SHOW,MP,
299,11:45:00,12:00:00,00:15:00 :00,31-05-2015,SPEAKER KHADKE,MP,
300,12:00:00,12:30:00,00:30:00:00,31-05-2015,GALLAN WITH GULABO,MP,
301,12:30:00,13:00:00,00:30:00:00,31-05-2015,PANGA TV,MP,
302,13:00:00,13:30:00,00:30:00:00,31-05-2015,SPEAKER KHADKE,MP,
303,13:30:00,14:00:00,00:30:00:00,31-05-2015,PRABH AASRA,MP,
304,14:00:00,15:00:00,1:00:00:00,31-05-2015,GURBANI-REHRASS-SHABAD-AKATH KATHA,MP,
305,15:00:00,15:30:00,00:30:00:00,31-05-2015,BHAI KHALSA TRUST,MP,
306,15:30:00,15:45:00,00:15:00:00,31-05-2015,BARU SAHIB-WAY OF LIFE,MP,
307,15:45:00,16:00:00,00:15:00:00,31-05-2015,JYOTISH VIGYAN WITH PANDIT R K SHARMA,MP,
308,16:00:00,16:30:00,00:30:00:00,31-05-2015,DHUR KI BANI (F),MP,
309,16:30:00,17:00:00,00:30:00:00,31-05-2015,PUNJABI BITES,MP,
310,17:00:00,17:30:00,00:30:00:00,31-05-2015,PUNJABI NEWS,MP,
311,17:30:00,18:30:00,1:00:00:00,31-05-2015,EVENTS,MP,
312,18:30:00,19:00:00,00:30:00:00,31-05-2015,RU BA RU (F),MP,
313,19:00:00,19:30:00,00:30:00:00,31-05-2015,PANGA TV(F),MP,
314,19:30:00,20:00:00,00:30:00:00,31-05-2015,JYOTISH VIGYAN WITH PANDIT R K SHARMA,MP,
315,20:00:00,20:30:00,00:30:00:00,31-05-2015,PUNJABI NEWS,MP,
316,20:30:00,21:00:00,00:30:00:00,31-05-2015,EVENTS,MP,
317,21:00:00,21:30:00,00:30:00:00,31-05-2015,EVENTS,MP,
318,21:30:00,22:00:00,00:30:00:00,31-05-2015,RU BA RU (F),MP,
319,22:00:00,22:30:00,00:30:00:00,31-05-2015,PANGA TV,MP,
320,22:30:00,23:00:00,00:30:00:00,31-05-2015,JYOTISH VIGYAN WITH PANDIT R K SHARMA,MP,
321,23:00:00,23:30:00,00:30:00:00,31-05-2015,PUNJABI NEWS,MP,
322,23:30:00,00:00:00,00:30:00:00,31-05-2015,JAAN PEHCHAAN,MP,
